Title,Company,Location,Postdate,ExtractDate,Summary,Salary,JobURL
PROGRAMADOR DE PRODUCCION,LABORATORIOS PISA,"Coyoacán, CDMX",Hace más de 30 días,2021-01-24,"Realizar las actividades de programación relacionadas con INP, maquilas, reacondicionados y contingencias. Principales responsabilidades del puesto:",,https://mx.indeed.com/rc/clk?jk=d9531b872d5fa4fc&fccid=8b96603121d4876f&vjs=3
Inplant de Recursos Humanos,UNION SR S.A. DE C.V.,"Colonia Vallejo, CDMX",hace 24 días,2021-01-24,"Coordinar programación de pagos de nómina. Importante empresa en el ramo de elaboración de plásticos, se encuentra en busqueda de tu talento como:",,https://mx.indeed.com/company/UNION-SR-S.A.-DE-C.V./jobs/Inplant-3e1cefebbc5449ba?fccid=6fdd6eef958c8316&vjs=3
ANALISTA DE DATOS,ZELE MEXICO,"Benito Juárez, CDMX",Hace más de 30 días,2021-01-24,"¿Disfrutas del análisis de datos y sus hallazgos? esto es para ti. Estudiantes o egresados de carreras como actuaría, ingeniería, sistemas, matemáticas o afín.",,https://mx.indeed.com/rc/clk?jk=11838c1cc0066abb&fccid=4df183bb48f5a40e&vjs=3
Desarrollador Jr,Warriors Lab's,"Benito Juárez, CDMX",hace 16 días,2021-01-24,Empresa mexicana líder en el desarrollo e investigación en TI. Está en búsqueda de Ingenieros que deseen integrarse al área de Sistemas como Desarrollador Jr.*.,"$10,000 - $15,000 al mes",https://mx.indeed.com/company/WARRIORS-LABS-S.A-de-C.V/jobs/Desarrollador-junior-dd425bf26bc5baca?fccid=7c5c60b57362e99e&vjs=3
Asistente Académico,Bumeran,Ciudad de México,Hace más de 30 días,2021-01-24,"Apoyo en la programación de sesiones. Investigación, búsquedas de bibliografía y citación. Estructura de casos, notas técnicas.",,https://mx.indeed.com/rc/clk?jk=545310e6a8e323c2&fccid=f4ce47cf6f6f15f3&vjs=3
ANALISTA CRÉDITO Y COBRANZA.,Bumeran,"Coyoacán, CDMX",Hace más de 30 días,2021-01-24,Actualizar los estados de cuenta de acuerdo a la programación de pago en los diferentes portales. Responsable del seguimiento de la información financiera así…,,https://mx.indeed.com/rc/clk?jk=661bc5621c7a4156&fccid=f4ce47cf6f6f15f3&vjs=3
Programador / becario,Dymon Limited,Ciudad de México,Hace más de 30 días,2021-01-24,"Buscamos Técnicos universitarios en programación, Técnicos analistas programadores, licenciados, ingenieros, etc.",,https://mx.indeed.com/rc/clk?jk=36c73b46cacded86&fccid=c773bbe7a27fa42a&vjs=3
Programador para Academia Softtek,Softtek,Ciudad de México,Hace más de 30 días,2021-01-24,Familiarizado con conceptos de programación. En esta ocasión estamos buscando talento con experiencia en programación que este interesado en entrenarse y…,,https://mx.indeed.com/rc/clk?jk=37206515b821d479&fccid=8c62709e0b55239b&vjs=3
Director de Arte,Figment,"Miguel Hidalgo, CDMX",hace 17 días,2021-01-24,"Trabajar junto con Directivos, Líderes del área de programación, redes sociales y el equipo completo de Líderes de Proyectos. Experiencia en diseño UI/UX.",,https://mx.indeed.com/company/Figment/jobs/Director-arte-9a72d18365b9dfa9?fccid=003596b6a070b1e0&vjs=3
Desarrollador Backend,Wolf Sellers,"Cuauhtémoc, CDMX",hace 9 días,2021-01-24,"Somos Wolf Sellers, agencia de desarrollo de plataformas de eCommerce y Enterprise Partner de Magento Commerce. Ganadores del Partner of the Year para LATAM.",,https://mx.indeed.com/company/Wolf-Sellers/jobs/Desarrollador-backend-58cce95633d3a7fc?fccid=4fa9e6c8556b6f8c&vjs=3
Analista de Base de Datos,Laureate Education,Ciudad de México,Hace más de 30 días,2021-01-24,"ANALISTA DE BASES DE DATOS. Objetivo: Brindar soporte para la realización de las tareas de extracción, formateo y preparación de información para los procesos…",,https://mx.indeed.com/rc/clk?jk=eca637da279997db&fccid=9f4bcd5e5ff3b84d&vjs=3
Encargado de inyección,Human Capital Resources,"Iztapalapa, CDMX",Hace más de 30 días,2021-01-24,"Conocimientos en la programación de maquinaría de inyección Haitian para ajustes. Experiencia de 3 años mínima en: *. Sueldo de $14,000.00 a 18,000.00.","$14,000 - $18,000 al mes",https://mx.indeed.com/company/HCR/jobs/Encargado-inyecci%C3%B3n-017b37f9136bab80?fccid=89a575212243f247&vjs=3
EJECUTIVO DE VENTAS,COMERKER S.A. DE C.V.,"Cuauhtémoc, CDMX",hace 9 días,2021-01-24,BUSCAMOS EJECUTIVO DE VENTAS/REPRESENTANTE MÉDICO*. Somos una empresa dedicada a la distribución y venta de equipo médico quirúrgico con uno de los mejores…,,https://mx.indeed.com/company/COMERKER-S.A.-DE-C.V./jobs/Ejecutivo-ventas-011240be14ee27b2?fccid=169b1d289487a789&vjs=3
GERENTE EN SISTEMAS,GESTIÓN DE TALENTO HUMANO,"Azcapotzalco, CDMX",Hace más de 30 días,2021-01-24,"Administración de redes y base de datos, conocimientos de programación, lenguaje php, python, progress . Te invita a formar parte de su equipo de trabajo como G…","$20,000 al mes",https://mx.indeed.com/rc/clk?jk=7055d3001e7bf97f&fccid=c7a40e7249500f74&vjs=3
Actuary,HSBC,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"Lenguajes de programación deseables (SQL, SAS, R, Python). En HSBC estamos comprometidos a construir una cultura donde todos los empleados y clientes sean…",,https://mx.indeed.com/rc/clk?jk=39eb9ab03028ee7f&fccid=04c9b139c84ea1b5&vjs=3
Becario diseño web,Grupo Milenio,"Cuauhtémoc, CDMX",hace 3 días,2021-01-24,"Manejo de lenguajes de programación. Importante MEDIO DE COMUNICACIÓN se encuentra en búsqueda de tu talento para BECARIO DE OPERACIONES WEB,.","$4,000 al mes",https://mx.indeed.com/company/Grupo-Milenio/jobs/Becario-dise%C3%B1o-web-a0dc6e065ddf22a8?fccid=d2b8381d6767126c&vjs=3
Data Analyst (Forecast),Nissan,Ciudad de México,Hace más de 30 días,2021-01-24,Name of position: Especialista de Planeación Estratégica (BI). Reports to: Sales Incentives Jr Mger. Coordinación de resultados de industria y generación de…,,https://mx.indeed.com/rc/clk?jk=95096509f5562c53&fccid=154ba50a8fca4d5c&vjs=3
Ingeniero en Sistemas,T7 Group,Ciudad de México,Hace más de 30 días,2021-01-24,"Si eres Ing. en Sistemas con conocimiento en: Arquitectura de Hardware y Software. ¡Te estamos buscando, únete a nuestro gran equipo de trabajo!",,https://mx.indeed.com/rc/clk?jk=a9b0dc7aeb3edbe3&fccid=a1480d4a86920b0c&vjs=3
Supervisor de Mantenimiento de Elevadores y Escaleras CDMX,BLT Brilliant México,"Benito Juárez, CDMX",Hace más de 30 días,2021-01-24,Importante empresa de Elevadores y Escaleras requiere del siguiente perfil: Experiencia mínima de 2 años en posiciones de Supervisión o Coordinación o…,,https://mx.indeed.com/rc/clk?jk=df07db618627b2e0&fccid=f5c8380bb9660896&vjs=3
Jefe de Producción,Bumeran,"Azcapotzalco, CDMX",Hace más de 30 días,2021-01-24,"Planear y programar los procesos para la fabricación de resinas, controlando la secuencia en los equipos, garantizando la entrega de acuerdo a la programación y…",,https://mx.indeed.com/rc/clk?jk=d0fbc16bfe2451e0&fccid=f4ce47cf6f6f15f3&vjs=3
Programador operador cnc,TAIMSA CORPORACIÓN INDUSTRIAL MÉXICO S.A DE C.V,"Gustavo A. Madero, CDMX",Hace más de 30 días,2021-01-24,Conocimiento en software de programación. Experiencia en operación y programación. Manejo de instrumentos de medición. Fecha de inicio prevista: 9/10/2020.,"$2,000 por semana",https://mx.indeed.com/company/TAIMSA-CORPORACI%C3%93N-INDUSTRIAL-M%C3%89XICO-S.A-DE-C.V/jobs/Programador-operador-CNC-7c2caf3227457d61?fccid=7b5fce31d780bc0a&vjs=3
programador web training para liberación de servicio HOME OFFICE,Warriors Lab's,"Benito Juárez, CDMX",hace 3 días,2021-01-24,"Conocimiento en lenguajes de programación: PHP, HTML5. Importante empresa de tecnología solicita: Programador practicante para liberar de servicio social ó…",,https://mx.indeed.com/company/WARRIORS-LABS-S.A-de-C.V/jobs/Programador-web-training-liberaci%C3%B3n-servicio-home-office-ea2b3bebedc19b79?fccid=7c5c60b57362e99e&vjs=3
Desarrollador Web Jr,Filmarket Hub,"Xochimilco, CDMX",Hace más de 30 días,2021-01-24,¿Eres desarrollador y te apasionan las series de televisión? En Filmarket Hub estamos buscando un Desarrollador Junior ubicado en CDMX para unirse al equipo de…,,https://mx.indeed.com/company/Filmarket-Hub/jobs/Desarrollador-web-junior-f170b1c4b96fc50b?fccid=84c5ef0d1da992cf&vjs=3
operador de cnc,Fermic S.A. de C.V.,"Iztapalapa, CDMX",Hace más de 30 días,2021-01-24,Experiencia de 3 años en operación y programación de torno CNC. Lunes a viernes 8-a17 horas. Fecha de inicio prevista: 9/11/2020.,"$15,000 - $17,000 al mes",https://mx.indeed.com/company/Fermic-S.A.-de-C.V./jobs/Operador-CNC-d28a567200b73582?fccid=59af91ce57ffc1e3&vjs=3
Diseñadora Gráfica,ENLACES EDUCANADA,"Tlalpan, CDMX",hace 10 días,2021-01-24,Habilidades en programación de páginas Web. Esta vacante viene de la bolsa de empleo Talenteca.com. Enlaces Educanada es una Agencia de Consultoría Académica en…,,https://mx.indeed.com/rc/clk?jk=946d8d264c76c6d8&fccid=eed90d68cd17e798&vjs=3
PLANEADOR COMPRADOR,"DESARROLLO CORPORATIVO HEMAN, S.A. DE C.V.","Coyoacán, CDMX",Hace más de 30 días,2021-01-24,Sugerir fechas de entrada a las cadenas comerciales con base en las existencias actuales y programación de llegada de las órdenes de compra.,,https://mx.indeed.com/rc/clk?jk=5272ccd2b6bb5b30&fccid=948c6ca9507e8e90&vjs=3
Programador Trainee,AGASYS S.A. DE C.V.,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"Conocimiento indispensable: Lenguaje de programación (Visual Basic net, C++, SQL). Empresa especializada en desarrollo e innovación de software está en búsqueda…","$10,000 - $15,000 al mes",https://mx.indeed.com/rc/clk?jk=52fb24aecc7511bc&fccid=942c4ec626ccb63b&vjs=3
Tester Jr,Vision Consulting,Ciudad de México,Hace más de 30 días,2021-01-24,Capacidad de análisis de requerimientos Apego a planes de trabajo Trabajo por objetivos Capacidad de diseño y ejecución de casos de prueba Administración de…,,https://mx.indeed.com/rc/clk?jk=50103e4394d02519&fccid=064de52e18900ca1&vjs=3
PROGRAMADOR C/C++,DISH,"Coyoacán, CDMX",hace 9 días,2021-01-24,"DISH empresa líder en telecomunicaciones busca personal para formar parte de su equipo como: Licenciatura concluida en Sistemas, Tecnologías de la información o…","$40,000 - $45,000 al mes",https://mx.indeed.com/rc/clk?jk=6abc77e3608207be&fccid=942c4ec626ccb63b&vjs=3
Coordinador de Mercadotecnia,GRUPO DULCERO CANDY CAMI S.A. DE C.V.,"Venustiano Carranza, CDMX",hace 9 días,2021-01-24,Grupo Dulcero Candy Cami empresa líder en el mercado dulcero 100% mexicana y en constante crecimiento. Solicita COORDINADOR DE MERCADOTECNIA para laborar en…,"$12,000 al mes",https://mx.indeed.com/company/COMERCIALIZADORA-CYNAN-S.A.-DE-C.V./jobs/Coordinador-mercadotecnia-cd14dd0cdb968997?fccid=aa2ef117a6ac56bd&vjs=3
Desarrollador PHP,Denumeris Interactive Agency,"Álvaro Obregón, CDMX",hace 5 días,2021-01-24,"Ing. en sistemas, Lic. en Informática o Carrera a fin. Experiencia mínima de 3 años como Desarrollador PHP. HTML,css3,JQuery,Java Script.","$15,000 - $20,000 al mes",https://mx.indeed.com/rc/clk?jk=aaf2c75a77d37f2c&fccid=942c4ec626ccb63b&vjs=3
Administrador de WebLogicServer y SOA,BLK Global Logistics,"Coyoacán, CDMX",hace 2 días,2021-01-24,Conocimiento en programación java para identificar componentes de una aplicación. Administrador de WebLogicServer y SOA. Temporalmente debido al COVID-19.,"$20,000 - $30,000 al mes",https://mx.indeed.com/company/BLK/jobs/Administrador-weblogicserver-soa-813192069639c91e?fccid=377eb72a2df92016&vjs=3
Consultor/a Proyecto IFRS -9,Scotiabank,Ciudad de México,hace 19 días,2021-01-24,¡Gracias por tu interés en Scotiabank! Nuestro grupo tiene un fuerte compromiso en promover un lugar de trabajo en donde te sientas respaldado/a por tus…,,https://mx.indeed.com/rc/clk?jk=e93465e5ff6088bf&fccid=3002307a9e5b4706&vjs=3
Ingeniero de Sistemas,Grupo Estrella Esmeralda SA de CV,"Venustiano Carranza, CDMX",hace 18 días,2021-01-24,Experiencia mínima de 2 años en programación con Python. Empresa importadora y distribuidora de accesorios de moda para dama.,"$15,000 - $18,000 al mes",https://mx.indeed.com/company/Grupo-Estrella-Esmeralda-SA-de-CV/jobs/Ingeniero-sistemas-b520054e0b61ab62?fccid=f20f45f4a6705335&vjs=3
Ingeniero de Automatización y Control,EOS Project México,"Miguel Hidalgo, CDMX",hace 3 días,2021-01-24,Experiencia en desarrollo y programación de estrategias y filosofías de control y operación para equipos de la industria alimentaria o química como evaporadores…,,https://mx.indeed.com/company/EOS/jobs/Ingeniero-automatizaci%C3%B3n-control-f4ff15e04281120b?fccid=866134be7693f998&vjs=3
Desarrollador en Unity,Figment,"Miguel Hidalgo, CDMX",hace 15 días,2021-01-24,Conocimientos en otros idiomas de programación. Estamos buscando un programador responsable de construir juegos para varias plataformas basadas en Unity.,,https://mx.indeed.com/company/Figment/jobs/Desarrollador-unity-53f6be403220e96e?fccid=003596b6a070b1e0&vjs=3
Analista de Sistemas,"CABLETAMPS, S.A. DE C.V.","Coyoacán, CDMX",hace 15 días,2021-01-24,\*CONTRATO TEMPORAL POR INCAPACIDAD DE MATERNIDAD\*. Escolaridad: Ingeniero de sistemas o afín. Conocimientos básicos en Linux y Windows Server.,"$12,500 al mes",https://mx.indeed.com/company/CABLETAMPS-SA-DE-CV/jobs/Analista-sistemas-26bbb36619bb9536?fccid=fb0363aa55138dd8&vjs=3
Desarrollador Back End,Umvel,"Colonia Condesa, CDMX",hace 3 días,2021-01-24,Seguir buenas prácticas de programación. Realizar el desarrollo de software utilizando el lenguaje de programación JavaScript (NodeJS).,"$25,000 al mes",https://mx.indeed.com/company/Umvel/jobs/Desarrollador-back-end-e77a63583902f46b?fccid=24ca1f07d3a98371&vjs=3
Machine Learning,PRAXIS TI,"Cuauhtémoc, CDMX",hace 11 días,2021-01-24,"PRAXIS, es una empresa Mexicana Líder en Tecnologías de la Información, con presencia Internacional, y con 25 años proporcionando servicios de TI.",,https://mx.indeed.com/rc/clk?jk=951860224df29922&fccid=942c4ec626ccb63b&vjs=3
SOPORTE TECNICO,RC CORPORATIVO,"Benito Juárez, CDMX",Hace más de 30 días,2021-01-24,RC Corporativo consultoría financiera solicita persona para el area de: SOPORTE TECNICO CON CONOCIMMIENTO EN PROGRAMACION. Edad: 25 a 40 años.,,https://mx.indeed.com/rc/clk?jk=d8aab09692195b23&fccid=402f28e52ffaf852&vjs=3
Analista de Soporte Técnico,MEDICAL DIMEGAR,"Azcapotzalco, CDMX",hace 12 días,2021-01-24,Analista de soporte técnico e infraestructura *. Edad 24 a 45 años. En sistemas Computacionales o carrera a fin. Revisar y cotizar equipos tecnológicos.,"$8,000 al mes",https://mx.indeed.com/company/MEDICAL-DIMEGAR/jobs/Analista-soporte-t%C3%A9cnico-a1f161cb64cea873?fccid=8be960fd3f9847ad&vjs=3
DISEÑADOR 3D,Joskes de México,Ciudad de México,Hace más de 30 días,2021-01-24,"Somos una empresa mexicana dedicada al Diseño, Producción y Comercialización de Joyería. Nuestras marcas son: Carré, Mossimo, Steve Madden, Emanuel Ungaro.",,https://mx.indeed.com/rc/clk?jk=4760a9763157cdbc&fccid=931f7ba093b05ff7&vjs=3
"Asesor de Reportes Regulatorios en SAS (Ciudad de México, Cuauhtémoc)",BBVA,"Cuauhtémoc, CDMX",hace 1 día,2021-01-24,"Rol con conocimientos y experiencia en Reportes y ejecución y desarrollo de programación en SAS. México - BBVA Bancomer Servicios Administrativos, S.A. de C.V.",,https://mx.indeed.com/rc/clk?jk=4d2c829ee74d3402&fccid=c938a854fbd13908&vjs=3
Tech Lead TI,IDS COMERCIAL,"Benito Juárez, CDMX",hace 2 días,2021-01-24,Ids Comercial* es una empresa 100% mexicana dedicada a TI con más de 37 años de experiencia a nivel Nacional e Internacional. Sueldo de acuerdo a habilidades.,,https://mx.indeed.com/company/IDS-COMERCIAL/jobs/Tech-lead-ti-953d0b1eca6cab26?fccid=a9c69e8e50833ad8&vjs=3
Diseñador - Motion Graphic On Air,Fox Networks Group,"Colonia Lomas de Chapultepec, CDMX",Hace más de 30 días,2021-01-24,"Procesamiento digital de la información gráfica: banners digitales, animación, ediciones, paquetes gráficos, programación, etc. Cuidado y atención al detalle.",,https://mx.indeed.com/rc/clk?jk=4c0d558fcd62acc7&fccid=1e6bb6ac32b82eea&vjs=3
ENCARGADO DE CUENTAS POR PAGAR,MEGAVEGETALES,"Iztapalapa, CDMX",hace 11 días,2021-01-24,Experiencia mínima 2 años en áreas administrativas y financieras gastos y costos manejo de excel intermedio avanzado cuentas por pagar control de efectivos…,"$8,000 al mes",https://mx.indeed.com/rc/clk?jk=c91e42c350450096&fccid=377d050635624671&vjs=3
Gerente de Soporte Técnico,Creatio Entornos,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"Experto en hacer programaciones en equipos Crestron, hacer cotizaciones de equipos tecnológicos, hacer levantamientos en obras, oficinas, laboratorios,…","$16,000 al mes",https://mx.indeed.com/company/Creatio-Entornos/jobs/Gerente-soporte-t%C3%A9cnico-1f3baed7e4ad48e4?fccid=d0168da3384271a6&vjs=3
Analista de Fuerza de Ventas (Farma),IQVIA,Ciudad de México,hace 25 días,2021-01-24,"Administración de bases de datos Conocimiento en MySQL Sistemas, programación, bases de datos, SQL. ¡Únete a nosotros en nuestro emocionante trayecto!",,https://mx.indeed.com/rc/clk?jk=a341730ac2a9e60b&fccid=6b7a1dfe07e7f037&vjs=3
Desarrolladores PHP,Internet de Alta Calidad,Ciudad de México,Hace más de 30 días,2021-01-24,"Programación de web applications (html, css, javascript). Por favor envía tu curriculum a capital.humano@iac.com.mx.",,https://mx.indeed.com/rc/clk?jk=0981b47da1019a7d&fccid=bd77e99909e62951&vjs=3
Analista de base de datos,La Maroma. Un giro a la promoción.,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"Esta vacante viene de la bolsa de empleo Talenteca.com. Manejo de bases de datos de gran volumen. Gestión, análisis e interpretación de información Excel…","$8,500 al mes",https://mx.indeed.com/rc/clk?jk=14ebe2fb21049714&fccid=445615a59e24afd4&vjs=3
PHP Developer,Giocorp Reclutamiento TI,"Miguel Hidalgo, CDMX",hace 20 días,2021-01-24,"\* Dominio en Programación Orientada a Objetos. \* Diseño de Web Services (Soap, Rest). \* Dominio en algún Backend Frameworks (Symfony3+, Laravel5+,…","$10,000 - $20,000 al mes",https://mx.indeed.com/company/Giocorp-Reclutamiento-TI/jobs/PHP-developer-5b4dc6dda2f89d30?fccid=6fd1ab5ef693ceac&vjs=3
Administrador/a de bases de datos,Adecco,"Álvaro Obregón, CDMX",hace 1 día,2021-01-24,"Consolidar la información recabada de los clientes, Manejo de bases de datos en ExcelExperiencia requerida. Programación de macros, access, uso de excel nivel…","$5,500 al mes",https://mx.indeed.com/rc/clk?jk=b673088cef2900fb&fccid=fa101182bd51b2ce&vjs=3
PROGRAMADOR OPERADOR CNC,MAHIN Manufactura Industrial,"Xochimilco, CDMX",Hace más de 30 días,2021-01-24,Experiencia en programación CNC con mastercam/bobcadcam. Se solicita programador CNC más de 3 años de experiencia. Experiencia en operación CNC HAAS.,"$3,000 - $3,200 por semana",https://mx.indeed.com/company/MAHIN-Manufactura-Industrial/jobs/Programador-operador-CNC-7c4a3ef6342fed0a?fccid=f579df429c179724&vjs=3
Programador Analista,Selanusa,"Cuauhtémoc, CDMX",hace 5 días,2021-01-24,"Somos una empresa Mexicana que nos dedicamos a la comercialización y manufactura de artículos de mercería y manualidades. Desarrollo en C# DotNet, Java.","$21,000 - $25,000 al mes",https://mx.indeed.com/company/Selanusa/jobs/Programador-analista-4af8adb33c0f19d0?fccid=89552df29fa19831&vjs=3
Responsable de E-Commerce,Bumeran,"Iztacalco, CDMX",Hace más de 30 días,2021-01-24,"Empresa líder en su ramo, solicita Responsable de E-Commerce. Edad de 25 a 30 años. Sexo y estado Civil indistinto. Programación mensual de alta de productos.",,https://mx.indeed.com/rc/clk?jk=6cd5c816223cfc8c&fccid=f4ce47cf6f6f15f3&vjs=3
Enfermera(o) Coordinadora Quirúrgica,Clinimed Surgery Center Polanco,"Colonia Polanco, CDMX",hace 5 días,2021-01-24,"Esto incluye la programación de la cirugía, el mantenimiento de registros de los pacientes, la introducción de datos posquirúrgicos y la programación del equipo…","$15,000 - $20,000 al mes",https://mx.indeed.com/company/CliniMed-Medical-Group/jobs/Enfermera-coordinadora-quir%C3%BArgica-f433e0d4a893130a?fccid=88381bca610da880&vjs=3
CLIENT SERVICES / IT HELP DESK,REQUORDIT.MX,"Benito Juárez, CDMX",hace 11 días,2021-01-24,"Ingeniero en Sistemas, Licenciado en computación o similar. Buscamos talento que a estará en contacto con nuestros clientes tanto en Mexico como en Estados…",,https://mx.indeed.com/company/Requordit-MX/jobs/Client-services-e1cd1517c4e685fb?fccid=af65bf33d0b692eb&vjs=3
